Countries and territories,Cases,Deaths,Hospital Beds,Doctors,Nurses,Daily Smokers,Overweight or obese population,Alcohol consumption,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP)
afghanistan,34,0,,,,,,,AFG,43.09017551,54.32489755,2.58492694,37172386.0,51.3641533,48.6358467,10.19867734
albania,89,2,,,,,,,ALB,17.67287372,68.58239036,13.74473591,2866376.0,50.9369054,49.0630946,6.69789475
algeria,102,15,,,,,,,DZA,30.14867859,63.48882487,6.362496545,42228429.0,50.51573212,49.48426788,6.648475
andorra,113,0,,,,,,,AND,,,,77006.0,,,10.36772767
angola,2,0,,,,,,,AGO,46.80892471,50.97470164,2.2163736480000003,30809762.0,49.46953707,50.53046293,2.87782524
antigua_and_barbuda,1,0,,,,,,,ATG,22.08109175,69.11908273,8.79982552,96286.0,48.21150371,51.78849629,4.30900835
argentina,266,4,,,,,,,ARG,24.76093384,64.12127729,11.11778888,44494502.0,48.76265155,51.23734845,7.54838404
armenia,190,0,,,,,,,ARM,20.63342192,68.11276042,11.25381766,2951776.0,47.04342285,52.95657715,9.92732109
australia,1709,7,3.84,3.68,11.68,12.4,65.2,9.4,AUS,19.19061704,65.15290773,15.65647523,24992369.0,49.80037676,50.19962324,9.25209201
austria,3631,16,7.37,5.18,6.85,,,11.8,AUT,14.29794763,66.70048591,19.00156646,8847037.0,49.17057335,50.82942665,10.43762567
azerbaijan,65,1,,,,,,,AZE,23.36956986,70.43524739,6.195182751,9942334.0,49.8842509,50.1157491,6.89059972
bahamas,4,0,,,,,,,BHS,22.48487567,70.25752197,7.257602357000001,385640.0,48.57494781,51.42505219,6.37542177
bahrain,334,2,,,,,,,BHR,19.25431012,78.319356,2.4263338780000003,1569439.0,63.65174839,36.34825161,4.86947429
bangladesh,27,3,,,,,,,BGD,27.70602248,67.13558688,5.15839064,161356039.0,50.61270333,49.38729667,2.36505997
barbados,17,0,,,,,,,BRB,17.34294815,66.85435789,15.80269396,286641.0,48.32716997,51.67283003,6.96244846
belarus,76,0,,,,,,,BLR,16.86594305,68.28890878,14.84514817,9485386.0,46.54394578,53.45605422,6.31679395
belgium,3401,75,5.64,3.08,10.96,,,10.4,BEL,17.05542276,64.1558335,18.78874374,11422068.0,49.40668061,50.59331939,10.03841793
benin,2,0,,,,,,,BEN,42.44768239,54.29871231,3.253605297,11485048.0,49.901798299999996,50.098201700000004,3.85561779
bermuda,6,0,,,,,,,BMU,,,,63968.0,,,
bhutan,2,0,,,,,,,BTN,25.77135373,68.22563455,6.003011712999999,754394.0,52.99736478,47.00263522,3.45418055
bolivia,27,0,,,,,,,BOL,31.07354775,61.73450486,7.191947392,11353142.0,50.21660087,49.78339913,6.86056405
bosnia_and_herzegovina,125,1,,,,,,,BIH,14.76621765,68.76346488,16.47031747,3323929.0,48.98946397,51.01053603,9.22955617
brazil,1546,25,,,,10.1,,6.3,BRA,21.33407191,69.74309026,8.922837832,209469333.0,49.17008324,50.82991676,11.77150303
brunei_darussalam,88,0,,,,,,,BRN,23.02646149,72.10039094,4.873147568,428962.0,51.96381947,48.03618053,2.3409551
bulgaria,185,3,,,,,,,BGR,14.59546532,64.38262025,21.02191443,7024216.0,48.58591159,51.41408841,8.23011604
burkina_faso,64,3,,,,,,,BFA,44.94808132,52.64493785,2.406980829,19751535.0,49.90451848,50.09548152,6.75254452
cambodia,86,0,,,,,,,KHM,31.20141476,64.22990522,4.568680018,16249798.0,48.80201873,51.19798127,6.08196009
cameroon,27,0,,,,,,,CMR,42.63157984,54.639542799999994,2.728877355,25216237.0,49.99651217,50.00348783,4.690249099999999
canada,1430,18,2.5,2.76,9.96,12.0,59.1,8.2,CAN,15.87025087,66.89774245,17.23200668,37058856.0,49.60847005,50.39152995,10.53465477
cape_verde,3,0,,,,,,,CPV,28.77776695,66.6129059,4.609327157,543767.0,50.18096086,49.81903914,5.23696219
cases_on_an_international_conveyance_japan,696,7,,,,,,,,,,,,,,
cayman_islands,3,1,,,,,,,CYM,,,,64174.0,,,
central_african_republic,4,0,,,,,,,CAF,44.29432055,52.87990574,2.8257737069999997,4666377.0,49.56352629,50.43647371,4.28252151
chad,2,0,,,,,,,TCD,47.12629999,50.39318107,2.480518944,15477751.0,49.91510058,50.08489942,4.5381013
chile,632,1,2.11,,,24.5,74.2,7.9,CHL,19.75390247,68.71629587,11.52980166,18729160.0,49.27296816,50.72703184,8.52893972
china,81649,3276,4.34,2.01,2.7,24.7,,5.7,CHN,17.87700275,71.20211371,10.92088354,1392730000.0,51.32062604,48.67937396,4.98188075
colombia,235,2,1.71,2.18,1.33,,,4.5,COL,23.07789598,68.444057,8.47804702,49648685.0,49.0742283,50.9257717,5.91234407
congo,4,0,,,,,,,COG,41.76350246,55.554778000000006,2.681719539,5244363.0,49.93439623,50.06560377,4.63481785
costa_rica,134,2,1.13,,,4.2,,3.8,CRI,21.32474411,69.12540822,9.549847673,4999441.0,49.9901489,50.0098511,7.55572353
cote_divoire,25,0,,,,,,,CIV,41.93697214,55.20408485,2.858943015,25069229.0,50.48088042,49.51911958,4.40362075
croatia,235,1,,,,,,,HRV,14.51194001,65.04262698,20.44543301,4089400.0,48.14737825,51.85262175,7.18008037
cuba,35,1,,,,,,,CUB,16.21123899,68.60254959,15.18621142,11338138.0,49.66715017,50.33284983,12.19122021
cyprus,95,0,,,,,,,CYP,16.78784796,69.49309027,13.71906177,1189265.0,50.0289255,49.9710745,6.87966475
czech_republic,1165,1,6.63,,8.06,18.4,,11.6,CZE,15.58660552,64.99251759,19.42087689,10625695.0,49.19141107,50.80858893,7.14959908
democratic_republic_of_the_congo,30,2,,,,,,,COD,46.16564209,50.81651729,3.017840622,84068091.0,49.90225661,50.09774339,3.87116143
denmark,1395,13,2.5,4.0,9.95,16.9,51.0,9.1,DNK,16.45826256,63.7287848,19.81295264,5797446.0,49.72579727,50.27420273,10.35004017
djibouti,1,0,,,,,,,DJI,29.57411596,65.89830466,4.527579378,958920.0,52.63321455,47.36678545,3.50192451
dominica,1,0,,,,,,,DMA,,,,71625.0,,,5.30393975
dominican_republic,202,3,,,,,,,DOM,27.977129499999997,64.94005302,7.082817476000001,10627165.0,49.99220393,50.00779607,6.16130052
ecuador,789,14,,,,,,,ECU,28.028592,64.81411827,7.157289727,17084357.0,50.02937482,49.97062518,8.38714107
egypt,294,10,,,,,,,EGY,33.79872071,60.97149994,5.229779346,98423595.0,50.53002836,49.46997164,4.63781726
el_salvador,3,0,,,,,,,SLV,27.13208091,64.58082908,8.287090005,6420744.0,46.88599756,53.11400244,6.95775683
equatorial_guinea,6,0,,,,,,,GNQ,37.11659887,60.42552379,2.4578773469999997,1308974.0,55.54414706,44.45585294,3.37653274
eritrea,1,0,,,,,,,ERI,,,,,,,2.95931347
estonia,326,0,4.69,3.47,6.19,17.2,50.7,10.3,EST,16.35707375,64.01656941,19.62635685,1320884.0,47.14157318,52.85842682,6.68368438
eswatini,4,0,,,,,,,SWZ,38.11249154,57.87292052,4.014587941,1136191.0,48.85106937,51.14893063,7.69694547
ethiopia,11,0,,,,,,,ETH,40.78298191,55.7158851,3.501132998,109224559.0,50.02111158,49.97888842,3.97401588
faroe_islands,115,0,,,,,,,FRO,,,,48497.0,,,
fiji,3,0,,,,,,,FJI,29.5126222,65.03769739,5.449680412999999,883483.0,50.69949858,49.30050142,3.46146795
finland,626,1,3.28,,,14.0,67.6,8.4,FIN,16.14518297,62.13402948,21.72078755,5518050.0,49.27924151,50.72075849,9.49305799
france,16018,674,5.98,3.37,10.8,,49.0,11.7,FRA,17.95646444,62.00891081,20.03462475,66987244.0,48.41575952,51.58424048,11.53929503
french_polynesia,18,0,,,,,,,PYF,22.76189413,68.94759777,8.290508105,277679.0,50.67543477,49.32456523,
gabon,6,1,,,,,,,GAB,37.0258697,59.41022284,3.563907468,2119275.0,50.93137984,49.06862016,3.11291313
gambia,1,0,,,,,,,GMB,44.26874506,53.141273999999996,2.589980939,2280102.0,49.5978671,50.4021329,4.43153755
georgia,54,0,,,,,,,GEO,19.795240600000003,65.33926797,14.86549143,3731000.0,47.7087625,52.2912375,8.43609722
germany,24774,94,8.0,4.25,12.93,18.8,52.7,10.9,DEU,13.6210301,64.9170079,21.461962,82927922.0,49.33963263,50.66036737,11.13916763
ghana,24,1,,,,,,,GHA,37.59606159,59.33504041,3.068898007,29767108.0,50.6741703,49.3258297,4.44871433
gibraltar,15,0,,,,,,,GIB,,,,33718.0,,,
greece,624,15,4.21,,3.31,,55.0,6.5,GRC,14.07124487,64.27348306,21.65527208,10727668.0,49.08379809,50.91620191,8.45429347
greenland,2,0,,,,,,,GRL,,,,56025.0,,,
grenada,1,0,,,,,,,GRD,23.56128986,66.81680334,9.621906796000001,111454.0,50.39255624,49.60744376,5.24666501
guam,27,1,,,,,,,GUM,24.46370832,65.68638097,9.849910719,165768.0,50.50551970000001,49.49448029999999,
guatemala,19,1,,,,,,,GTM,34.43539539,60.752532099999996,4.812072508,17247807.0,49.2406505,50.7593495,5.82031093
guernsey,17,0,,,,,,,,,,,,,,
guinea,2,0,,,,,,,GIN,43.85017334,53.22380421,2.9260224480000003,12414318.0,48.1788893,51.8211107,5.47827339
guyana,5,1,,,,,,,GUY,28.2145452,65.33518355,6.4502712429999995,779004.0,50.19197517,49.80802483,4.24328719
haiti,2,0,,,,,,,HTI,33.24224426,61.80835189,4.949403848,11123176.0,49.34779011,50.65220989,5.38571841
holy_see,1,0,,,,,,,,,,,,,,
honduras,27,0,,,,,,,HND,31.74088153,63.56850081,4.690617659,9587522.0,49.95065983,50.04934017,8.40196647
hungary,167,7,7.02,3.32,6.51,,,11.1,HUN,14.41199221,66.4302824,19.15772538,9768785.0,47.56757197,52.43242803,7.36479381
iceland,568,1,2.91,3.94,14.85,8.6,65.4,7.7,ISL,19.83232011,65.37258734,14.79509256,353574.0,50.18829148,49.81170852,8.29151473
india,439,7,0.53,0.78,1.5,11.2,,3.0,IND,27.05330185,66.7667425,6.179955649,1352617328.0,51.97646036,48.02353964,3.65833057
indonesia,514,48,1.04,,,39.9,,0.3,IDN,26.55119731,67.59163708,5.857165612999999,267663435.0,50.35611781,49.64388219,3.12449094
iran,21638,1685,,,,,,,IRN,24.47655866,69.33886753,6.184573806,81800269.0,50.56087024,49.43912976,8.10277065
iraq,233,20,,,,,,,IRQ,38.386565399999995,58.28983494,3.323599663,38433600.0,50.59131847,49.40868153,3.31216318
ireland,906,4,2.96,3.18,12.16,17.0,62.0,11.0,IRL,21.40641959,64.72777871,13.865801699999999,4853506.0,49.57449052,50.42550948,7.37830423
isle_of_man,2,0,,,,,,,IMN,,,,84077.0,,,
israel,1071,1,2.99,3.14,5.08,16.9,50.9,2.6,ISR,27.92524646,60.09776752,11.97698602,8883800.0,49.70187342,50.29812658,7.31441124
italy,59138,5476,3.18,3.99,6.71,19.9,46.0,7.6,ITA,13.32911609,63.91920431,22.7516796,60431283.0,48.62333037,51.37666963,8.93549301
jamaica,19,0,,,,,,,JAM,23.75009668,67.45326077,8.796642551,2934855.0,49.66017037,50.33982963,6.0723917
japan,1089,41,13.05,2.43,11.34,17.7,25.9,7.2,JPN,12.69684881,59.72678128,27.57636991,126529100.0,48.84074087,51.15925913,10.92612327
jersey,15,0,,,,,,,,,,,,,,
jordan,99,0,,,,,,,JOR,34.24549021,61.90801939,3.8464903980000003,9956011.0,50.61031646,49.38968354,5.46821058
kazakhstan,60,0,,,,,,,KAZ,28.46054978,64.14760395,7.391846271,18276499.0,48.48851635,51.51148365,3.52614962
kenya,15,0,,,,,,,KEN,39.78216693,57.87864645,2.3391866119999998,51393010.0,49.68397961,50.31602039,4.54957525
kosovo,31,1,,,,,,,XKX,,,,1845300.0,,,
kuwait,188,0,,,,,,,KWT,21.53888805,75.91063957,2.550472384,4137309.0,60.45182938,39.54817062,3.9039449999999998
kyrgyzstan,14,0,,,,,,,KGZ,32.35041711,63.15485491,4.494727976,6315800.0,49.47513692,50.52486308,6.62528772
latvia,139,0,5.57,3.21,4.57,,54.6,11.2,LVA,15.99577694,63.96060274,20.04362032,1926542.0,45.98983334,54.01016666,6.24292955
lebanon,248,4,,,,,,,LBN,26.09586717,66.9017647,7.002368134,6848925.0,50.29419448,49.70580552,8.01673185
liberia,3,0,,,,,,,LBR,41.12498659,55.62158161,3.2534318,4818977.0,50.23170898,49.76829102,9.61511081
liechtenstein,46,0,,,,,,,LIE,,,,37910.0,,,
lithuania,143,1,6.56,4.56,7.71,,,12.3,LTU,14.88242451,65.41254234,19.70503316,2789533.0,46.20804135,53.79195865,6.67158258
luxembourg,798,8,4.51,2.98,11.72,14.5,,11.3,LUX,15.87882399,69.93802183,14.18315418,607728.0,50.46074103,49.53925897,6.16378558
madagascar,3,0,,,,,,,MDG,40.66815059,56.34513228,2.9867171260000003,26262368.0,49.87603339,50.12396661,6.00363747
malaysia,1306,10,,,,,,,MYS,23.99514109,69.33310429,6.671754625,31528585.0,51.42147942,48.57852058,3.80219497
maldives,13,0,,,,,,,MDV,20.147916600000002,76.14873879,3.7033446060000004,515696.0,62.73501854,37.26498146,10.61083995
malta,90,0,,,,,,,MLT,14.27690052,65.37377518,20.349324300000003,483530.0,50.12669178,49.87330822,9.29531092
